received_at_utc,time_ms,temperature_c,humidity_rh_pct,prediction_c
"2026-09-08T10:10:50.8226899Z","6332","27.5839","50.8755","27.2852"
"2026-09-08T10:11:00.7447911Z","16332","27.5713","50.9083","27.2734"
"2026-09-08T10:11:10.7376997Z","26332","27.5681","50.7887","27.2734"
"2026-09-08T10:11:20.7344590Z","36332","27.5557","50.8420","27.2539"
"2026-09-08T10:11:30.7282131Z","46332","27.5425","50.8065","27.2383"
